Ekin,Eterm,Epot,Eint,E,T,P,r1,r2,r12_abs,U12,F12,F1,Step
1909.04975683,648.68475683,409782.28972568,410430.97448251,411691.33948251,156.61353914,212.65357508,,,0.23106189,409782.28972568,38561.10606806,,81
2015.00225768,754.63725768,285808.21373766,286562.85099534,287823.21599534,182.19390921,189.87244786,,,0.23405392,285808.21373766,32490.81655319,,82
2110.05706355,849.69206355,195433.09213168,196282.78419523,197543.14919523,205.14322227,169.40127995,,,0.23725218,195433.09213168,27109.87651173,,83
2193.39006377,933.02506377,131648.92103817,132581.94610194,133842.31110194,225.26251126,151.41575451,,,0.24062252,131648.92103817,22449.71152079,,84
2265.15965434,1004.79465434,87720.63528765,88725.42994199,89985.79494199,242.59001814,135.88385084,,,0.24413535,87720.63528765,18484.97373261,,85
2326.13400627,1065.76900627,58011.6121908,59077.38119706,60337.74619706,257.31120428,122.64484203,,,0.24776551,58011.6121908,15157.13120897,,86
2377.4027453,1117.0377453,38180.81417443,39297.85191973,40558.21691973,269.68914068,111.4701304,,,0.25149189,38180.81417443,12392.01319364,,87
2420.17540161,1159.81040161,25063.48877376,26223.29917537,27483.66417537,280.01584716,102.10565329,,,0.25529691,25063.48877376,10111.56190239,,88
2455.652986,1195.287986,16437.99868241,17633.28666841,18893.65166841,288.58128668,94.29886372,,,0.25916612,16437.99868241,8240.92842749,,89
2484.95437817,1224.58937817,10785.50614908,12010.09552725,13270.46052725,295.65559309,87.81419704,,,0.26308764,10785.50614908,6712.22212409,,90
2509.0804338,1248.7154338,7086.71339754,8335.42883134,9595.79383134,301.4804054,82.44063355,,,0.26705177,7086.71339754,5466.05461059,,91
2528.90219217,1268.53719217,4666.25058896,5934.78778113,7195.15278113,306.26602075,77.994216,,,0.27105059,4666.25058896,4451.74460928,,92
2545.16332761,1284.79832761,3080.4222232,4365.22055081,5625.58555081,310.19198624,74.31758453,,,0.27507766,3080.4222232,3626.78451699,,93
2558.49019186,1298.12519186,2039.27892802,3337.40411988,4597.76911988,313.4095235,71.27791846,,,0.27912776,2039.27892802,2955.95719577,,94
2569.40521721,1309.04021721,1353.88811773,2662.92833494,3923.29333494,316.04476463,68.76416792,,,0.28319662,1353.88811773,2410.338217,,95
2578.34114818,1317.97614818,901.26788711,2219.24403529,3479.60903529,318.20218819,66.68410442,,,0.28728077,901.26788711,1966.31577244,,96
2585.65469422,1325.28969422,601.33588026,1926.62557448,3186.99057448,319.9679154,64.96148482,,,0.29137741,601.33588026,1604.69502224,,97
2591.63890665,1331.27390665,401.86936363,1733.14327028,2993.50827028,321.41269837,63.53347535,,,0.29548424,401.86936363,1309.91422013,,98
2596.53401062,1336.16901062,268.73625191,1604.90526253,2865.27026253,322.59453523,62.34839318,,,0.29959938,268.73625191,1069.37756819,,99
2600.53666657,1340.17166657,179.56416077,1519.73582734,2780.10082734,323.56090619,61.36377209,,,0.3037213,179.56416077,872.89803388,,100
2603.80776309,1343.44276309,119.63996103,1463.08272412,2723.44772412,324.35065499,60.54473188,,,0.30784877,119.63996103,712.23803939,,101
2606.47890123,1346.11390123,79.25220563,1425.36610685,2685.73110685,324.99555437,59.86261913,,,0.31198076,79.25220563,580.73426472,,102
2608.65774766,1348.29274766,51.96589756,1400.25864523,2660.62364523,325.52159856,59.29388302,,,0.31611643,51.96589756,472.9930961,,103
2610.43242977,1350.06742977,33.49986745,1383.56729722,2643.93229722,325.95006438,58.81915042,,,0.32025511,33.49986745,384.6444844,,104
2611.87513044,1351.51013044,20.99414739,1372.50427783,2632.86927783,326.29837912,58.42246789,,,0.32439623,20.99414739,312.14357541,,105
2613.04502112,1352.68002112,12.53026826,1365.21028938,2625.57528938,326.58082867,58.09068183,,,0.32853933,12.53026826,252.6111156,,106
2613.99065106,1353.62565106,6.81602429,1360.44167536,2620.80667536,326.80913441,57.81293245,,,0.33268403,6.81602429,203.70516716,,107
2614.7518922,1354.3868922,2.97751944,1357.36441164,2617.72941164,326.99292271,57.58024085,,,0.33683002,2.97751944,163.51801402,,108
2615.36152187,1354.99652187,0.42143612,1355.41795799,2615.78295799,327.14010708,57.38517212,,,0.34097706,0.42143612,130.49329081,,109
2615.846511,1355.481511,-1.25656084,1354.22495016,2614.58995016,327.25719919,57.22156043,,,0.34512492,-1.25656084,103.35932498,,110
2616.22907326,1355.86407326,-2.33299209,1353.53108116,2613.89608116,327.34956212,57.08428447,,,0.34927344,-2.33299209,81.07547013,,111
2616.52752004,1356.16252004,-2.99758245,1353.16493759,2613.52993759,327.42161685,56.96908396,,,0.35342247,-2.99758245,62.78884869,,112
2616.75695796,1356.39195796,-3.3808825,1353.01107546,2613.37607546,327.47701061,56.87240942,,,0.3575719,-3.3808825,47.79943871,,113
2616.92985851,1356.56485851,-3.57294579,1352.99191272,2613.35691272,327.51875441,56.79129911,,,0.36172163,-3.57294579,35.53185448,,114
2617.05652385,1356.69152385,-3.6360095,1353.05551435,2613.42051435,327.54933553,56.72327807,,,0.36587159,-3.6360095,25.51250233,,115
2617.14546807,1356.78046807,-3.61313846,1353.16732961,2613.53232961,327.57080955,56.66627509,,,0.37002172,-3.61313846,17.35105816,,116
2617.20372988,1356.83872988,-3.53414061,1353.30458927,2613.66958927,327.58487584,56.61855443,,,0.37417195,-3.53414061,10.7254244,,117
2617.23712918,1356.87212918,-3.4196305,1353.45249868,2613.81749868,327.59293952,56.57865952,,,0.37832225,-3.4196305,5.36949238,,118
2617.25047801,1356.88547801,-3.28383101,1353.601647,2613.966647,327.59616236,56.54536645,,,0.38247258,-3.28383101,1.06317025,,119
2617.24775417,1356.88275417,-3.13651181,1353.74624236,2614.11124236,327.59550473,56.51764555,,,0.38662292,-3.13651181,-2.37575661,,120
2617.23224434,1356.86724434,-2.98433503,1353.88290931,2614.24790931,327.59176016,56.49462952,,,0.39077325,-2.98433503,-5.09828045,,121
2617.20666216,1356.84166216,-2.83179233,1354.00986983,2614.37486983,327.58558379,56.47558702,,,0.39492354,-2.83179233,-7.22962101,,122
2617.1732458,1356.8082458,-2.68185932,1354.12638648,2614.49138648,327.577516,56.45990067,,,0.39907379,-2.68185932,-8.87369588,,123
2617.13383874,1356.76883874,-2.53645378,1354.23238496,2614.59738496,327.56800185,56.44704883,,,0.40322398,-2.53645378,-10.11679307,,124
2617.08995659,1356.72495659,-2.39675714,1354.32819945,2614.69319945,327.55740728,56.43659032,,,0.40737411,-2.39675714,-11.0305929,,125
2617.04284255,1356.67784255,-2.26344055,1354.41440201,2614.77940201,327.54603242,56.42815169,,,0.41152417,-2.26344055,-11.67465825,,126
2616.99351348,1356.62851348,-2.1368239,1354.49168958,2614.85668958,327.53412279,56.42141662,,,0.41567415,-2.1368239,-12.09848963,,127
2616.94279808,1356.57779808,-2.01698791,1354.56081017,2614.92581017,327.52187844,56.41611696,,,0.41982406,-2.01698791,-12.34322356,,128
2616.89136872,1356.52636872,-1.90385296,1354.62251576,2614.98751576,327.50946173,56.4120253,,,0.42397388,-1.90385296,-12.44303808,,129
2616.83976793,1356.47476793,-1.79723463,1354.6775333,2615.0425333,327.49700362,56.40894866,,,0.42812363,-1.79723463,-12.42631735,,130
2616.78843042,1356.42343042,-1.69688258,1354.72654784,2615.09154784,327.48460908,56.40672324,,,0.4322733,-1.69688258,-12.31661799,,131
2616.73770147,1356.37270147,-1.60250773,1354.77019374,2615.13519374,327.47236147,56.40520996,,,0.43642289,-1.60250773,-12.13347168,,132
2616.68785226,1356.32285226,-1.51380114,1354.80905112,2615.17405112,327.46032625,56.4042907,,,0.44057241,-1.51380114,-11.89305262,,133
2616.63909264,1356.27409264,-1.43044696,1354.84364568,2615.20864568,327.4485541,56.40386517,,,0.44472185,-1.43044696,-11.60873331,,134
2616.59158181,1356.22658181,-1.35213116,1354.87445066,2615.23945066,327.43708345,56.40384819,,,0.44887121,-1.35213116,-11.29154753,,135
2616.54543725,1356.18043725,-1.27854738,1354.90188987,2615.26688987,327.42594265,56.40416747,,,0.45302051,-1.27854738,-10.95057665,,136
2616.50074212,1356.13574212,-1.20940063,1354.92634149,2615.29134149,327.4151518,56.40476168,,,0.45716973,-1.20940063,-10.59327209,,137
2616.45755146,1356.09255146,-1.14440948,1354.94814199,2615.31314199,327.40472417,56.40557881,,,0.46131889,-1.14440948,-10.22572477,,138
2616.41589745,1356.05089745,-1.0833073,1354.96759015,2615.33259015,327.39466754,56.40657479,,,0.46546798,-1.0833073,-9.85289035,,139
2616.37579361,1356.01079361,-1.02584274,1354.98495087,2615.34995087,327.38498517,56.40771233,,,0.46961701,-1.02584274,-9.47877776,,140
2616.3372385,1355.9722385,-0.97177975,1355.00045875,2615.36545875,327.37567672,56.40895993,,,0.47376598,-0.97177975,-9.10660693,,141
2616.3002187,1355.9352187,-0.92089723,1355.01432147,2615.37932147,327.36673894,56.41029099,,,0.47791489,-0.92089723,-8.73894097,,142
2616.26471125,1355.89971125,-0.87298853,1355.02672272,2615.39172272,327.35816629,56.41168313,,,0.48206375,-0.87298853,-8.37779683,,143
2616.2306858,1355.8656858,-0.82786078,1355.03782502,2615.40282502,327.34995144,56.41311757,,,0.48621255,-0.82786078,-8.02473815,,144
2616.19810629,1355.83310629,-0.78533415,1355.04777214,2615.41277214,327.34208569,56.41457855,,,0.4903613,-0.78533415,-7.68095293,,145
2616.16693236,1355.80193236,-0.7452411,1355.05669126,2615.42169126,327.33455929,56.41605296,,,0.49451001,-0.7452411,-7.34731878,,146
2616.13712057,1355.77212057,-0.70742563,1355.06469495,2615.42969495,327.32736176,56.41752989,,,0.49865866,-0.70742563,-7.02445747,,147
2616.10862533,1355.74362533,-0.67174246,1355.07188287,2615.43688287,327.32048209,56.41900033,,,0.50280728,-0.67174246,-6.71278077,,148
